1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-05-03, 8:01:00 a.m.,C,9.5
2021-05-03, 9:01:00 a.m.,C,9.5
2021-05-03, 10:01:00 a.m.,C,9.5
2021-05-03, 11:01:00 a.m.,C,10.5
2021-05-03, 12:01:00 p.m.,C,13
2021-05-03, 1:01:00 p.m.,C,14.5
2021-05-03, 2:01:00 p.m.,C,16.5
2021-05-03, 3:01:00 p.m.,C,17.5
2021-05-03, 4:01:00 p.m.,C,17
2021-05-03, 5:01:00 p.m.,C,15.5
2021-05-03, 6:01:00 p.m.,C,15
2021-05-03, 7:01:00 p.m.,C,14.5
2021-05-03, 8:01:00 p.m.,C,13.5
2021-05-03, 9:01:00 p.m.,C,9.5
2021-05-03, 10:01:00 p.m.,C,9.5
2021-05-03, 11:01:00 p.m.,C,9.5
2021-05-04, 12:01:00 a.m.,C,9
2021-05-04, 1:01:00 a.m.,C,9
2021-05-04, 2:01:00 a.m.,C,9
2021-05-04, 3:01:00 a.m.,C,9
2021-05-04, 4:01:00 a.m.,C,9
2021-05-04, 5:01:00 a.m.,C,9
2021-05-04, 6:01:00 a.m.,C,9
2021-05-04, 7:01:00 a.m.,C,9
2021-05-04, 8:01:00 a.m.,C,9
2021-05-04, 9:01:00 a.m.,C,9.5
2021-05-04, 10:01:00 a.m.,C,9.5
2021-05-04, 11:01:00 a.m.,C,9.5
2021-05-04, 12:01:00 p.m.,C,12
2021-05-04, 1:01:00 p.m.,C,16
2021-05-04, 2:01:00 p.m.,C,19
2021-05-04, 3:01:00 p.m.,C,21
2021-05-04, 4:01:00 p.m.,C,22.5
2021-05-04, 5:01:00 p.m.,C,20.5
2021-05-04, 6:01:00 p.m.,C,18.5
2021-05-04, 7:01:00 p.m.,C,17
2021-05-04, 8:01:00 p.m.,C,14
2021-05-04, 9:01:00 p.m.,C,10.5
2021-05-04, 10:01:00 p.m.,C,9.5
2021-05-04, 11:01:00 p.m.,C,9
2021-05-05, 12:01:00 a.m.,C,9
2021-05-05, 1:01:00 a.m.,C,9
2021-05-05, 2:01:00 a.m.,C,9
2021-05-05, 3:01:00 a.m.,C,9
2021-05-05, 4:01:00 a.m.,C,9
2021-05-05, 5:01:00 a.m.,C,9
2021-05-05, 6:01:00 a.m.,C,9
2021-05-05, 7:01:00 a.m.,C,9
2021-05-05, 8:01:00 a.m.,C,9
2021-05-05, 9:01:00 a.m.,C,9.5
2021-05-05, 10:01:00 a.m.,C,10
2021-05-05, 11:01:00 a.m.,C,9.5
2021-05-05, 12:01:00 p.m.,C,9.5
2021-05-05, 1:01:00 p.m.,C,10.5
2021-05-05, 2:01:00 p.m.,C,17
2021-05-05, 3:01:00 p.m.,C,17.5
2021-05-05, 4:01:00 p.m.,C,17.5
2021-05-05, 5:01:00 p.m.,C,18
2021-05-05, 6:01:00 p.m.,C,18.5
2021-05-05, 7:01:00 p.m.,C,17
2021-05-05, 8:01:00 p.m.,C,15
2021-05-05, 9:01:00 p.m.,C,13.5
2021-05-05, 10:01:00 p.m.,C,10
2021-05-05, 11:01:00 p.m.,C,9.5
2021-05-06, 12:01:00 a.m.,C,9.5
2021-05-06, 1:01:00 a.m.,C,9.5
2021-05-06, 2:01:00 a.m.,C,9.5
2021-05-06, 3:01:00 a.m.,C,9.5
2021-05-06, 4:01:00 a.m.,C,9.5
2021-05-06, 5:01:00 a.m.,C,9.5
2021-05-06, 6:01:00 a.m.,C,9.5
2021-05-06, 7:01:00 a.m.,C,9.5
2021-05-06, 8:01:00 a.m.,C,9.5
2021-05-06, 9:01:00 a.m.,C,9.5
2021-05-06, 10:01:00 a.m.,C,9.5
2021-05-06, 11:01:00 a.m.,C,9.5
2021-05-06, 12:01:00 p.m.,C,10
2021-05-06, 1:01:00 p.m.,C,9.5
2021-05-06, 2:01:00 p.m.,C,9.5
2021-05-06, 3:01:00 p.m.,C,10
2021-05-06, 4:01:00 p.m.,C,10.5
2021-05-06, 5:01:00 p.m.,C,11.5
2021-05-06, 6:01:00 p.m.,C,10.5
2021-05-06, 7:01:00 p.m.,C,10
2021-05-06, 8:01:00 p.m.,C,9.5
2021-05-06, 9:01:00 p.m.,C,9.5
2021-05-06, 10:01:00 p.m.,C,9.5
2021-05-06, 11:01:00 p.m.,C,9.5
2021-05-07, 12:01:00 a.m.,C,9.5
2021-05-07, 1:01:00 a.m.,C,9.5
2021-05-07, 2:01:00 a.m.,C,9
2021-05-07, 3:01:00 a.m.,C,9
2021-05-07, 4:01:00 a.m.,C,9
2021-05-07, 5:01:00 a.m.,C,9
2021-05-07, 6:01:00 a.m.,C,9
